Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
softlight-concealer,Softlight Luminous Hydrating Concealer,"A does-it-all concealer that brightens, blurs and contours while nourishing the skin.",Rose Inc.,,Face Product,"best_selling, bestsellers, blemishes, blurring, brightening, buildable, face, gift, holiday gift guide 2023, hydrating, hyperpigmentation, longwearing, makeup, Modern Essentials 8.24.21, nourishing, online_only, radiant, redness, show_color_slider, subscription, under eye circles, Uneven Skintone",TRUE,Color,LX 200,,,,,3001242,10.20582833,shopify,670,deny,manual,30,,TRUE,TRUE,810078670537,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX010-Open_1_0aab627d-cdce-4724-8084-a7575a92ba6b.jpg?v=1695156369,1,Rose Inc Concealer Bottle,FALSE,Softlight Luminous And Hydrating Full Coverage Concealer | Rose Inc.,"Do it all with our Softlight full coverage concealer, our luminous and hydrating formula looks perfect and feels great to wear all day. ",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX200-Open_1.jpg?v=1695156368,oz,PH400882,,TRUE,,,TRUE,,,TRUE,,,active
softlight-concealer,,,,,,,,,LX 190,,,,,3001241,10.20582833,shopify,462,deny,manual,30,,TRUE,TRUE,810078670520,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX020-Open_1.jpg?v=1695156371,2,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX190-Open_1.jpg?v=1695156367,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 180,,,,,3001137,10.20582833,shopify,531,deny,manual,30,,TRUE,TRUE,810078670216,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX030-Open_1.jpg?v=1695156375,3,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX180-Open_1.jpg?v=1695156377,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 170,,,,,3001136,10.20582833,shopify,539,deny,manual,30,,TRUE,TRUE,810078670193,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX040-Open_1.jpg?v=1695156366,4,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX170-Open_1.jpg?v=1695156382,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 160,,,,,3001135,10.20582833,shopify,593,deny,manual,30,,TRUE,TRUE,810078670209,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX050-Open_1.jpg?v=1695156365,5,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX160-Open_1.jpg?v=1695156377,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 150,,,,,3001134,10.20582833,shopify,535,deny,manual,30,,TRUE,TRUE,810078670186,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX060-Open_1.jpg?v=1695156357,6,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX150-Open_1.jpg?v=1695156368,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 140,,,,,3001133,10.20582833,shopify,513,deny,manual,30,,TRUE,TRUE,810078670179,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX070-Open_1.jpg?v=1695156362,7,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX140-Open_1.jpg?v=1695156388,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 130,,,,,3001132,10.20582833,shopify,730,deny,manual,30,,TRUE,TRUE,810078670162,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX080-Open_1.jpg?v=1695156368,8,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX130-Open_1.jpg?v=1695156381,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 120,,,,,3001131,10.20582833,shopify,632,deny,manual,30,,TRUE,TRUE,810078670155,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX090-Open_1.jpg?v=1695156376,9,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX120-Open_1.jpg?v=1695156357,oz,PH400882,,,,,,,,,,,
softlight-concealer,,,,,,,,,LX 110,,,,,3001130,10.20582833,shopify,364,deny,manual,30,,TRUE,TRUE,810078670148,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX100-Open_1.jpg?v=1695156356,10,Rose Inc Concealer Bottle,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9257/6804/products/Product-Softlight-Concealer-LX110-Open_1.jpg?v=1695156372,oz,PH400882,,,,,,,,,,,
