modelName,url,url_model,,skin_darkness,darkness,skin_tone,warmth,recommendedConcealer,recommendedSerum,recommendedFoundation,concealer_slug,serum_slug,foundation_slug,concealer_variant,serum_variant,serum_variant,concealer_img_url,serum_img_url,foundation_img_url
HAILEY,sf_face_01.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_01.jpg,,fair,1,pink,0,LX 030,20,3N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631440060,43206943637692,44950016131260,https://original.accentuate.io/40549116870844/1629050601622/Softlight-Concealer-LX030-Shade-Selector-240x240-(1).jpg?v=1632272988783,https://original.accentuate.io/41112062394556/1642030261923/TintedSerum_020_AP.jpg?v=0,https://original.accentuate.io/42851227664572/1690392509592/3_Foundation_ThumbnailSwatch_AP.jpg?v=1690392509592
KENNA,sf_face_02.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_02.jpg,,fair,1,neutral,1,LX 010,10,1C,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631505596,43206943604924,44950016655548,https://original.accentuate.io/40549116936380/1629050629574/Softlight-Concealer-LX010-Shade-Selector-240x240-(1).jpg?v=1632272958425,https://original.accentuate.io/41112062361788/1642030248485/TintedSerum_010_AP.jpg?v=0,https://original.accentuate.io/42851228188860/1690392583331/1_Foundation_ThumbnailSwatch_AP.jpg?v=1690392583331
TRINITY,sf_face_03.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_03.jpg,,fair,1,golden,2,LX 030,20,4W,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631440060,43206943637692,44950016098492,https://original.accentuate.io/40549116870844/1629050601622/Softlight-Concealer-LX030-Shade-Selector-240x240-(1).jpg?v=1632272988783,https://original.accentuate.io/41112062394556/1642030261923/TintedSerum_020_AP.jpg?v=0,https://original.accentuate.io/42851227631804/1690392486431/4_Foundation_ThumbnailSwatch_AP.jpg?v=1690392486431
SOPHIE,sf_face_06.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_06.jpg,,fair,1,pink,0,LX 030,20,3N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631440060,43206943637692,44950016131260,https://original.accentuate.io/40549116870844/1629050601622/Softlight-Concealer-LX030-Shade-Selector-240x240-(1).jpg?v=1632272988783,https://original.accentuate.io/41112062394556/1642030261923/TintedSerum_020_AP.jpg?v=0,https://original.accentuate.io/42851227664572/1690392509592/3_Foundation_ThumbnailSwatch_AP.jpg?v=1690392509592
EMILY,sf_face_07.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_07.jpg,,fair,1,neutral,1,LX 040,30,5N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631407292,43206943670460,44950015574204,https://original.accentuate.io/40549116838076/1629050588013/Softlight-Concealer-LX040-Shade-Selector-240x240-(1).jpg?v=1632273008775,https://original.accentuate.io/41112062427324/1642030276224/TintedSerum_030_AP.jpg?v=0,https://original.accentuate.io/42851227107516/1690392444408/5_Foundation_ThumbnailSwatch_AP.jpg?v=1690392444408
SVETA,sf_face_08.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_08.jpg,,fair,1,neutral,1,LX 030,20,5N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631440060,43206943637692,44950015574204,https://original.accentuate.io/40549116870844/1629050601622/Softlight-Concealer-LX030-Shade-Selector-240x240-(1).jpg?v=1632272988783,https://original.accentuate.io/41112062394556/1642030261923/TintedSerum_020_AP.jpg?v=0,https://original.accentuate.io/42851227107516/1690392444408/5_Foundation_ThumbnailSwatch_AP.jpg?v=1690392444408
ASA,sf_face_11.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_11.jpg,,fair,1,golden,2,LX 020,20,4W,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631472828,43206943637692,44950016098492,https://original.accentuate.io/40549116903612/1629050615747/Softlight-Concealer-LX020-Shade-Selector-240x240-(1).jpg?v=1632272978978,https://original.accentuate.io/41112062394556/1642030261923/TintedSerum_020_AP.jpg?v=0,https://original.accentuate.io/42851227631804/1690392486431/4_Foundation_ThumbnailSwatch_AP.jpg?v=1690392486431
MIA,sf_face_28.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_28.jpg,,fair,1,pink,0,LX 030,30,3N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631440060,43206943670460,44950016131260,https://original.accentuate.io/40549116870844/1629050601622/Softlight-Concealer-LX030-Shade-Selector-240x240-(1).jpg?v=1632272988783,https://original.accentuate.io/41112062427324/1642030276224/TintedSerum_030_AP.jpg?v=0,https://original.accentuate.io/42851227664572/1690392509592/3_Foundation_ThumbnailSwatch_AP.jpg?v=1690392509592
DANI,sf_face_38.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_38.jpg,,fair,1,golden,2,LX 010,10,2N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631505596,43206943604924,44950016393404,https://original.accentuate.io/40549116936380/1629050629574/Softlight-Concealer-LX010-Shade-Selector-240x240-(1).jpg?v=1632272958425,https://original.accentuate.io/41112062361788/1642030248485/TintedSerum_010_AP.jpg?v=0,https://original.accentuate.io/42851227926716/1690392544703/2_Foundation_ThumbnailSwatch_AP.jpg?v=1690392544703
SOPHIE,sf_face_04.jpg,https://www.roseinc.com/cdn/shop/t/1038/assets/sf_face_04.jpg,,light,2,pink,0,LX 020,30,8N,softlight-concealer,skin-enhance-luminous-tinted-serum,softlight-skin-smoothing-liquid-foundation,42643631472828,43206943670460,44950015049916,https://original.accentuate.io/40549116903612/1629050615747/Softlight-Concealer-LX020-Shade-Selector-240x240-(1).jpg?v=1632272978978,https://original.accentuate.io/41112062427324/1642030276224/TintedSerum_030_AP.jpg?v=0,https://original.accentuate.io/42851226583228/1690392340653/8_Foundation_ThumbnailSwatch_AP.jpg?v=1690392340653
